transaction_id,account_id,transaction_date,running_balance
T000000076,A00000054,2024-01-31,4026.05
T000000077,A00000054,2024-01-31,3904.9
T000000078,A00000055,2024-01-31,4288.64
T000000079,A00000055,2024-01-31,4276.64
T000000080,A00000057,2024-01-31,4786.62
T000000081,A00000058,2024-01-31,4678
T000000082,A00000058,2024-01-31,4675
T000000083,A00000059,2024-01-31,40969.78
T000000084,A00000060,2024-01-31,2213.36
T000000085,A00000060,2024-01-31,2306.36
T000000086,A00000061,2024-01-31,1901.06
T000000087,A00000063,2024-01-31,501963.6
T000000088,A00000063,2024-01-31,501655.82
T000000089,A00000063,2024-01-31,501818.72
T000000090,A00000064,2024-01-31,29126.21
T000000091,A00000064,2024-01-31,29129.44
T000000092,A00000064,2024-01-31,29265.54
T000000093,A00000064,2024-01-31,29217.61
T000000094,A00000064,2024-01-31,29253.59
T000000095,A00000064,2024-01-31,29361.42
T000000096,A00000065,2024-01-31,2769.44
T000000097,A00000066,2024-01-31,795208.62
T000000098,A00000067,2024-01-31,38748.18
T000000099,A00000067,2024-01-31,36434.96
T000000100,A00000068,2024-01-31,14130.63
T000000101,A00000069,2024-01-31,5633.3
T000000102,A00000070,2024-01-31,6278.33
T000000103,A00000071,2024-01-31,30208.02
T000000104,A00000071,2024-01-31,31971.29
T000000105,A00000071,2024-01-31,31959.29
T000000106,A00000071,2024-01-31,31947.29
T000000107,A00000071,2024-01-31,30255.08
T000000108,A00000071,2024-01-31,30326.83
T000000109,A00000075,2024-01-31,42786.26
T000000110,A00000076,2024-01-31,44187.93
T000000111,A00000076,2024-01-31,46843.88
T000000112,A00000076,2024-01-31,46808.88
T000000113,A00000076,2024-01-31,45002.28
T000000114,A00000076,2024-01-31,44999.28
T000000115,A00000076,2024-01-31,44987.28
T000000116,A00000077,2024-01-31,79730.42
T000000117,A00000080,2024-01-31,3295.43
T000000118,A00000081,2024-01-31,2924.51
T000000119,A00000082,2024-01-31,1234.26
T000000120,A00000084,2024-01-31,31070.65
T000000121,A00000084,2024-01-31,31035.65
T000000122,A00000084,2024-01-31,31025.7
T000000123,A00000085,2024-01-31,135569.14
T000000124,A00000085,2024-01-31,135544.14
T000000125,A00000087,2024-01-31,460484.33
T000000126,A00000089,2024-01-31,6196.63
T000000127,A00000089,2024-01-31,6161.63
T000000128,A00000089,2024-01-31,6126.63
T000000129,A00000089,2024-01-31,6101.63
T000000130,A00000089,2024-01-31,6098.63
T000000131,A00000089,2024-01-31,6095.63
T000000132,A00000092,2024-01-31,27987.33
T000000133,A00000092,2024-01-31,27977.38
T000000134,A00000092,2024-01-31,27967.43
T000000135,A00000093,2024-01-31,-249.25
T000000136,A00000093,2024-01-31,-87.98
T000000137,A00000095,2024-01-31,-4605.05
T000000138,A00000099,2024-01-31,800.24
T000000139,A00000101,2024-01-31,10743.13
T000000140,A00000101,2024-01-31,10937.97
T000000141,A00000101,2024-01-31,11014.65
T000000142,A00000103,2024-01-31,7354.48
T000000143,A00000103,2024-01-31,7319.48
T000000144,A00000104,2024-01-31,1839.7
T000000145,A00000104,2024-01-31,946.2
T000000146,A00000107,2024-01-31,15556.03
T000000147,A00000107,2024-01-31,15473.9
T000000148,A00000110,2024-01-31,5013.19
T000000149,A00000110,2024-01-31,5001.19
T000000150,A00000111,2024-01-31,6815.43
T000000151,A00000112,2024-01-31,-171.2
T000000152,A00000113,2024-01-31,10650.64
T000000153,A00000114,2024-01-31,3465.51
T000000154,A00000114,2024-01-31,3515.49
T000000155,A00000114,2024-01-31,3420.4
T000000156,A00000115,2024-01-31,3432.35
T000000157,A00000115,2024-01-31,3293.13
T000000158,A00000115,2024-01-31,3182.1
T000000159,A00000117,2024-01-31,37000.6
T000000160,A00000118,2024-01-31,241732.35
T000000161,A00000118,2024-01-31,241590.6
T000000162,A00000118,2024-01-31,241610.32
T000000163,A00000118,2024-01-31,241572.67
T000000164,A00000118,2024-01-31,241542.81
T000000165,A00000118,2024-01-31,241623.32
T000000166,A00000119,2024-01-31,148044.66
T000000167,A00000119,2024-01-31,148146.7
T000000168,A00000119,2024-01-31,148019.24
T000000169,A00000120,2024-01-31,1341.62
T000000170,A00000121,2024-01-31,3025.79
T000000171,A00000123,2024-01-31,4149.62
T000000172,A00000125,2024-01-31,60086.61
T000000173,A00000125,2024-01-31,59901.74
T000000174,A00000128,2024-01-31,7606.36
T000000175,A00000129,2024-01-31,390888.06
T000000176,A00000130,2024-01-31,492238.78
T000000177,A00000130,2024-01-31,492213.78
T000000178,A00000132,2024-01-31,6726.31
T000000179,A00000133,2024-01-31,727.53
T000000180,A00000133,2024-01-31,726.5
T000000181,A00000133,2024-01-31,589.02
T000000182,A00000133,2024-01-31,102.07
T000000183,A00000133,2024-01-31,-551
T000000184,A00000133,2024-01-31,-364.72
T000000185,A00000134,2024-01-31,6563.48
T000000186,A00000134,2024-01-31,6501.19
T000000187,A00000136,2024-01-31,1831.42
T000000188,A00000136,2024-01-31,2105.27
T000000189,A00000136,2024-01-31,2131.72
T000000190,A00000137,2024-01-31,35936.58
T000000191,A00000138,2024-01-31,40212.25
T000000192,A00000139,2024-01-31,723501.94
T000000193,A00000139,2024-01-31,723514.02
T000000194,A00000141,2024-01-31,-309.53
T000000195,A00000142,2024-01-31,1527.73
T000000196,A00000143,2024-01-31,14619.99
T000000197,A00000143,2024-01-31,14810.05
T000000198,A00000145,2024-01-31,2498.92
T000000199,A00000146,2024-01-31,2628.73
T000000200,A00000148,2024-01-31,-894.56
T000000201,A00000148,2024-01-31,-901.52
T000000202,A00000148,2024-01-31,-865.63
T000000203,A00000152,2024-01-31,2199.79
T000000204,A00000152,2024-01-31,2402.11
T000000205,A00000152,2024-01-31,2536.27
T000000206,A00000154,2024-01-31,-580.48
T000000207,A00000154,2024-01-31,-809.6
T000000208,A00000154,2024-01-31,-808.56
T000000209,A00000156,2024-01-31,55872.52
T000000210,A00000157,2024-01-31,27.93
T000000211,A00000157,2024-01-31,1577.68
T000000212,A00000157,2024-01-31,1565.68
T000000213,A00000159,2024-01-31,-1783.92
T000000214,A00000159,2024-01-31,-1407.61
T000000215,A00000159,2024-01-31,-1490.71
T000000216,A00000160,2024-01-31,15366.7
T000000217,A00000163,2024-01-31,8073.19
T000000218,A00000170,2024-01-31,617.2
T000000219,A00000173,2024-01-31,387880.94
T000000220,A00000174,2024-01-31,752403.35
T000000221,A00000174,2024-01-31,752175.22
T000000222,A00000174,2024-01-31,752140.22
T000000223,A00000175,2024-01-31,30518.62
T000000224,A00000175,2024-01-31,30506.62
T000000225,A00000176,2024-01-31,468.18
T000000226,A00000177,2024-01-31,29677.1
T000000227,A00000177,2024-01-31,27685.35
T000000228,A00000178,2024-01-31,13550.48
T000000229,A00000178,2024-01-31,11209.43
T000000230,A00000178,2024-01-31,8112.19
T000000231,A00000179,2024-01-31,212940.58
T000000232,A00000179,2024-01-31,212185.34
T000000233,A00000181,2024-01-31,474107.93
T000000234,A00000181,2024-01-31,472382.34
T000000235,A00000182,2024-01-31,105618.41
T000000236,A00000182,2024-01-31,105709.37
T000000237,A00000182,2024-01-31,105685.72
T000000238,A00000183,2024-01-31,136.05
T000000239,A00000183,2024-01-31,27.35
T000000240,A00000183,2024-01-31,15.87
T000000241,A00000185,2024-01-31,5514.86
T000000242,A00000185,2024-01-31,5405.6
T000000243,A00000185,2024-01-31,5369.22
T000000244,A00000187,2024-01-31,551960.37
T000000245,A00000187,2024-01-31,551948.37
T000000246,A00000188,2024-01-31,-980192.19
T000000247,A00000189,2024-01-31,8891.29
T000000248,A00000190,2024-01-31,468009.53
T000000249,A00000190,2024-01-31,465975.89
T000000250,A00000190,2024-01-31,465963.89
T000000251,A00000191,2024-01-31,953.91
T000000252,A00000191,2024-01-31,967.59
T000000253,A00000193,2024-01-31,1221.98
T000000254,A00000196,2024-01-31,25606.91
T000000255,A00000197,2024-01-31,158065.58
T000000256,A00000198,2024-01-31,40441.54
T000000257,A00000199,2024-01-31,328857.25
T000000258,A00000204,2024-01-31,52165.43
T000000259,A00000204,2024-01-31,51135.81
T000000260,A00000205,2024-01-31,30052.02
T000000261,A00000209,2024-01-31,24557.45
T000000262,A00000210,2024-01-31,1791.17
T000000263,A00000210,2024-01-31,1959.22
T000000264,A00000210,2024-01-31,2870.3
T000000265,A00000210,2024-01-31,2873.96
T000000266,A00000210,2024-01-31,1931.42
T000000267,A00000210,2024-01-31,1919.42
T000000268,A00000211,2024-01-31,-1169.3
T000000269,A00000211,2024-01-31,-1678.81
T000000270,A00000211,2024-01-31,-2106.19
T000000271,A00000213,2024-01-31,2703.93
T000000272,A00000214,2024-01-31,5508.35
T000000273,A00000216,2024-01-31,223644.01
T000000274,A00000217,2024-01-31,20754.64
T000000275,A00000219,2024-01-31,138745.84
T000000276,A00000220,2024-01-31,991.22
T000000277,A00000220,2024-01-31,981.27
T000000278,A00000220,2024-01-31,612.39
T000000279,A00000222,2024-01-31,28089.93
T000000280,A00000222,2024-01-31,25955
T000000281,A00000223,2024-01-31,33805.76
T000000282,A00000223,2024-01-31,33855.16
T000000283,A00000223,2024-01-31,33503.33
T000000284,A00000223,2024-01-31,33701.05
T000000285,A00000223,2024-01-31,33737.12
T000000286,A00000223,2024-01-31,33765.24
T000000287,A00000224,2024-01-31,32949.08
T000000288,A00000224,2024-01-31,32937.08
T000000289,A00000224,2024-01-31,32925.08
T000000290,A00000228,2024-01-31,2167.41
T000000291,A00000228,2024-01-31,2189.97
T000000292,A00000230,2024-01-31,159552.36
T000000293,A00000231,2024-01-31,28305.07
T000000294,A00000233,2024-01-31,726.48
T000000295,A00000235,2024-01-31,4879.86
T000000296,A00000235,2024-01-31,4830.65
T000000297,A00000237,2024-01-31,3753.17
T000000298,A00000237,2024-01-31,3279.75
T000000299,A00000237,2024-01-31,3265.63
T000000300,A00000237,2024-01-31,3274.27
T000000301,A00000237,2024-01-31,2982.56
T000000302,A00000237,2024-01-31,2926.73
T000000303,A00000239,2024-01-31,299196.68
T000000304,A00000239,2024-01-31,296422.26
T000000305,A00000239,2024-01-31,296397.26
T000000306,A00000241,2024-01-31,118389.32
T000000307,A00000241,2024-01-31,118325.49
T000000308,A00000241,2024-01-31,118517.72
T000000309,A00000242,2024-01-31,5078.74
T000000310,A00000242,2024-01-31,5075.74
T000000311,A00000244,2024-01-31,37724.53
T000000312,A00000244,2024-01-31,37712.53
T000000313,A00000244,2024-01-31,37054.29
T000000314,A00000244,2024-01-31,38573.17
T000000315,A00000244,2024-01-31,38570.17
T000000316,A00000244,2024-01-31,-69349.32
T000000317,A00000246,2024-01-31,54870.67
T000000318,A00000246,2024-01-31,57049.46
T000000319,A00000246,2024-01-31,55273.9
T000000320,A00000247,2024-01-31,1109.59
T000000321,A00000248,2024-01-31,443.26
T000000322,A00000248,2024-01-31,431.26
T000000323,A00000249,2024-01-31,-801.24
T000000324,A00000253,2024-01-31,32921.43
T000000325,A00000254,2024-01-31,727441.58
T000000326,A00000255,2024-01-31,9689.8
T000000327,A00000255,2024-01-31,9682.73
T000000328,A00000255,2024-01-31,9098.75
T000000329,A00000256,2024-01-31,781.99
T000000330,A00000257,2024-01-31,14204.52
T000000331,A00000257,2024-01-31,14373.67
T000000332,A00000257,2024-01-31,14370.67
T000000333,A00000258,2024-01-31,5113.25
T000000334,A00000259,2024-01-31,993.41
T000000335,A00000259,2024-01-31,983.46
T000000336,A00000259,2024-01-31,980.46
T000000337,A00000261,2024-01-31,206195.58
T000000338,A00000261,2024-01-31,206704.95
T000000339,A00000261,2024-01-31,206624.7
T000000340,A00000262,2024-01-31,584.73
T000000341,A00000262,2024-01-31,439.77
T000000342,A00000264,2024-01-31,-1399.86
T000000343,A00000265,2024-01-31,663909.14
T000000344,A00000266,2024-01-31,-795.38
T000000345,A00000266,2024-01-31,-1059.7
T000000346,A00000266,2024-01-31,-1861.53
T000000347,A00000267,2024-01-31,587496.4
T000000348,A00000267,2024-01-31,587690.41
T000000349,A00000267,2024-01-31,587678.41
T000000350,A00000268,2024-01-31,2074.9
T000000351,A00000271,2024-01-31,1299.67
T000000352,A00000272,2024-01-31,434886.35
T000000353,A00000272,2024-01-31,434541.98
T000000354,A00000272,2024-01-31,434529.98
T000000355,A00000274,2024-01-31,1233.27
T000000356,A00000277,2024-01-31,33117.32
T000000357,A00000278,2024-01-31,20612.09
T000000358,A00000279,2024-01-31,3033.49
T000000359,A00000279,2024-01-31,2254.62
T000000360,A00000279,2024-01-31,2242.62
T000000361,A00000280,2024-01-31,5604.46
T000000362,A00000281,2024-01-31,161941.71
T000000363,A00000282,2024-01-31,46238.46
T000000364,A00000283,2024-01-31,5227.89
T000000365,A00000283,2024-01-31,5212.86
T000000366,A00000283,2024-01-31,5255.53
T000000367,A00000283,2024-01-31,5475.3
T000000368,A00000283,2024-01-31,4584.53
T000000369,A00000283,2024-01-31,4597.46
T000000370,A00000286,2024-01-31,5919.67
T000000371,A00000289,2024-01-31,3098.19
T000000372,A00000289,2024-01-31,3132.37
T000000373,A00000289,2024-01-31,3190.6
T000000374,A00000291,2024-01-31,820070.65
T000000375,A00000291,2024-01-31,820076.44
T000000376,A00000292,2024-01-31,9373.05
T000000377,A00000293,2024-01-31,41499.26
T000000378,A00000293,2024-01-31,41496.26
T000000379,A00000295,2024-01-31,2493.45
T000000380,A00000296,2024-01-31,742
T000000381,A00000297,2024-01-31,2239.37
T000000382,A00000299,2024-01-31,9702.68
T000000383,A00000299,2024-01-31,9409.4
T000000384,A00000300,2024-01-31,9587.89
T000000385,A00000300,2024-01-31,8955.81
T000000386,A00000301,2024-01-31,1098.34
T000000387,A00000301,2024-01-31,-522.52
T000000388,A00000301,2024-01-31,-525.52
T000000389,A00000302,2024-01-31,8517.4
T000000390,A00000302,2024-01-31,8196.06
T000000391,A00000303,2024-01-31,4746.87
T000000392,A00000303,2024-01-31,4956.12
T000000393,A00000304,2024-01-31,4862.86
T000000394,A00000304,2024-01-31,4827.86
T000000395,A00000304,2024-01-31,3829.81
T000000396,A00000304,2024-01-31,3817.81
T000000397,A00000304,2024-01-31,3805.81
T000000398,A00000304,2024-01-31,3770.81
T000000399,A00000306,2024-01-31,817753.09
T000000400,A00000308,2024-01-31,23765.77
T000000401,A00000308,2024-01-31,23374.51
T000000402,A00000308,2024-01-31,23429.48
T000000403,A00000309,2024-01-31,9742.42
T000000404,A00000310,2024-01-31,651528.23
T000000405,A00000311,2024-01-31,2460.33
T000000406,A00000311,2024-01-31,2440.53
T000000407,A00000312,2024-01-31,35747.59
T000000408,A00000313,2024-01-31,6648.47
T000000409,A00000314,2024-01-31,40772.14
T000000410,A00000314,2024-01-31,40986.33
T000000411,A00000315,2024-01-31,174541.14
T000000412,A00000315,2024-01-31,174506.14
T000000413,A00000318,2024-01-31,22396.26
T000000414,A00000319,2024-01-31,106695.48
T000000415,A00000319,2024-01-31,106738.59
T000000416,A00000320,2024-01-31,7016.86
T000000417,A00000320,2024-01-31,6766.84
T000000418,A00000320,2024-01-31,8657.72
T000000419,A00000325,2024-01-31,695768.64
T000000420,A00000326,2024-01-31,254456.49
T000000421,A00000327,2024-01-31,1689.39
T000000422,A00000327,2024-01-31,1603.75
T000000423,A00000328,2024-01-31,18757.86
T000000424,A00000328,2024-01-31,18486.98
T000000425,A00000328,2024-01-31,18436.84
T000000426,A00000330,2024-01-31,1041.36
T000000427,A00000330,2024-01-31,1029.36
T000000428,A00000331,2024-01-31,55268.4
T000000429,A00000332,2024-01-31,37601.97
T000000430,A00000333,2024-01-31,5545.24
T000000431,A00000333,2024-01-31,5510.24
T000000432,A00000336,2024-01-31,38558.22
T000000433,A00000337,2024-01-31,287148.66
T000000434,A00000338,2024-01-31,176485.07
T000000435,A00000339,2024-01-31,6312.47
T000000436,A00000341,2024-01-31,429660.68
T000000437,A00000342,2024-01-31,2730.21
T000000438,A00000343,2024-01-31,158851.6
T000000439,A00000348,2024-01-31,683.97
T000000440,A00000348,2024-01-31,658.97
T000000441,A00000350,2024-01-31,46080.89
T000000442,A00000350,2024-01-31,46142.76
T000000443,A00000350,2024-01-31,46360.75
T000000444,A00000351,2024-01-31,588885.84
T000000445,A00000351,2024-01-31,586905.91
T000000446,A00000353,2024-01-31,-949.55
T000000447,A00000354,2024-01-31,22260.26
T000000448,A00000354,2024-01-31,22248.26
T000000449,A00000354,2024-01-31,22186.25
T000000450,A00000354,2024-01-31,22626.16
T000000451,A00000354,2024-01-31,22623.16
T000000452,A00000354,2024-01-31,22685.82
T000000453,A00000355,2024-01-31,710.95
T000000454,A00000355,2024-01-31,701
T000000455,A00000356,2024-01-31,2024.63
T000000456,A00000357,2024-01-31,2771.95
T000000457,A00000358,2024-01-31,15855.25
T000000458,A00000358,2024-01-31,15830.25
T000000459,A00000358,2024-01-31,15936.57
T000000460,A00000359,2024-01-31,2344.55
T000000461,A00000359,2024-01-31,2341.55
T000000462,A00000359,2024-01-31,3634.98
T000000463,A00000360,2024-01-31,5253.86
T000000464,A00000362,2024-01-31,126496.81
T000000465,A00000362,2024-01-31,126471.81
T000000466,A00000365,2024-01-31,1131.86
T000000467,A00000367,2024-01-31,6749.45
T000000468,A00000368,2024-01-31,9968.89
T000000469,A00000369,2024-01-31,-355.93
T000000470,A00000370,2024-01-31,152436.67
T000000471,A00000370,2024-01-31,152441.63
T000000472,A00000371,2024-01-31,14822.83
T000000473,A00000371,2024-01-31,14785.21
T000000474,A00000372,2024-01-31,2971.12
T000000475,A00000373,2024-01-31,69655.4
T000000476,A00000374,2024-01-31,16747.52
T000000477,A00000374,2024-01-31,16772.74
T000000478,A00000374,2024-01-31,16914.61
T000000479,A00000376,2024-01-31,343.53
T000000480,A00000378,2024-01-31,459002.12
T000000481,A00000379,2024-01-31,3227.2
T000000482,A00000380,2024-01-31,5899.13
T000000483,A00000380,2024-01-31,5583.18
T000000484,A00000380,2024-01-31,5588.06
T000000485,A00000381,2024-01-31,2087.99
T000000486,A00000382,2024-01-31,2251.34
T000000487,A00000384,2024-01-31,32303.46
T000000488,A00000384,2024-01-31,32335.26
T000000489,A00000385,2024-01-31,4892.76
T000000490,A00000385,2024-01-31,4889.76
T000000491,A00000387,2024-01-31,374294.52
T000000492,A00000387,2024-01-31,372442.81
T000000493,A00000388,2024-01-31,30311.22
T000000494,A00000388,2024-01-31,27412.48
T000000495,A00000388,2024-01-31,25885.26
T000000496,A00000388,2024-01-31,25662.01
T000000497,A00000388,2024-01-31,25842.87
T000000498,A00000388,2024-01-31,25662.05
T000000499,A00000390,2024-01-31,33927.24
T000000500,A00000390,2024-01-31,33875.4
T000000501,A00000391,2024-01-31,2170.07
T000000502,A00000392,2024-01-31,488857.05
T000000503,A00000392,2024-01-31,488845.05
T000000504,A00000392,2024-01-31,488833.05
T000000505,A00000393,2024-01-31,1352.69
T000000506,A00000395,2024-01-31,530541.5
T000000507,A00000397,2024-01-31,17174.53
T000000508,A00000397,2024-01-31,15686.84
T000000509,A00000397,2024-01-31,15759.7
T000000510,A00000400,2024-01-31,91612.13
T000000511,A00000401,2024-01-31,1820.85
T000000512,A00000401,2024-01-31,1868.75
T000000513,A00000403,2024-01-31,4170.46
T000000514,A00000404,2024-01-31,7698.61
T000000515,A00000404,2024-01-31,7688.66
T000000516,A00000404,2024-01-31,7710.52
T000000517,A00000406,2024-01-31,50615.35
T000000518,A00000406,2024-01-31,48228.04
T000000519,A00000408,2024-01-31,15769.63
T000000520,A00000409,2024-01-31,8715.57
T000000521,A00000410,2024-01-31,25933.04
T000000522,A00000414,2024-01-31,188.35
T000000523,A00000414,2024-01-31,204.25
T000000524,A00000414,2024-01-31,195.8
T000000525,A00000415,2024-01-31,8026.85
T000000526,A00000416,2024-01-31,138200.56
T000000527,A00000417,2024-01-31,4184.49
T000000528,A00000418,2024-01-31,18817.73
T000000529,A00000419,2024-01-31,63038.35
T000000530,A00000420,2024-01-31,18241.15
T000000531,A00000420,2024-01-31,17137.9
T000000532,A00000420,2024-01-31,17327.33
T000000533,A00000421,2024-01-31,3619.07
T000000534,A00000422,2024-01-31,1463.4
T000000535,A00000422,2024-01-31,1634.94
T000000536,A00000425,2024-01-31,10775.83
T000000537,A00000427,2024-01-31,933.19
T000000538,A00000427,2024-01-31,908.19
T000000539,A00000427,2024-01-31,1070.14
T000000540,A00000429,2024-01-31,9154.88
T000000541,A00000429,2024-01-31,7732.95
T000000542,A00000430,2024-01-31,143643.49
T000000543,A00000430,2024-01-31,143429.99
T000000544,A00000430,2024-01-31,143328.1
T000000545,A00000431,2024-01-31,13495.16
T000000546,A00000432,2024-01-31,97729.4
T000000547,A00000434,2024-01-31,480.18
T000000548,A00000436,2024-01-31,26035.75
T000000549,A00000437,2024-01-31,210.99
T000000550,A00000438,2024-01-31,351954.13
T000000551,A00000439,2024-01-31,35303.02
T000000552,A00000439,2024-01-31,32209.54
T000000553,A00000439,2024-01-31,32197.54
T000000554,A00000440,2024-01-31,9825.8
T000000555,A00000441,2024-01-31,44401.21
T000000556,A00000442,2024-01-31,14553.55
T000000557,A00000444,2024-01-31,8140.07
T000000558,A00000446,2024-01-31,5567.48
T000000559,A00000448,2024-01-31,369778.39
T000000560,A00000449,2024-01-31,46232.29
T000000561,A00000450,2024-01-31,836527.47
T000000562,A00000451,2024-01-31,69408.28
T000000563,A00000451,2024-01-31,69329.72
T000000564,A00000451,2024-01-31,69294.72
T000000565,A00000453,2024-01-31,9237.56
T000000566,A00000453,2024-01-31,7632.25
T000000567,A00000454,2024-01-31,7791.08
T000000568,A00000454,2024-01-31,7766.08
T000000569,A00000455,2024-01-31,1240.13
T000000570,A00000456,2024-01-31,3748.76
T000000571,A00000457,2024-01-31,-981.63
T000000572,A00000458,2024-01-31,70917.95
T000000573,A00000459,2024-01-31,4347.44
T000000574,A00000459,2024-01-31,4789.85
T000000575,A00000459,2024-01-31,4881.25
T000000576,A00000459,2024-01-31,4830.84
T000000577,A00000459,2024-01-31,4750.4
T000000578,A00000459,2024-01-31,4922.45
T000000579,A00000462,2024-01-31,42941
T000000580,A00000463,2024-01-31,104302.23
T000000581,A00000463,2024-01-31,102719.35
T000000582,A00000465,2024-01-31,9426.05
T000000583,A00000465,2024-01-31,9440.9
T000000584,A00000466,2024-01-31,26340.25
T000000585,A00000467,2024-01-31,7242.89
T000000586,A00000467,2024-01-31,7443.05
T000000587,A00000467,2024-01-31,5982.29
T000000588,A00000468,2024-01-31,7436.59
T000000589,A00000468,2024-01-31,7401.59
T000000590,A00000469,2024-01-31,820.83
T000000591,A00000469,2024-01-31,808.83
T000000592,A00000469,2024-01-31,747.41
T000000593,A00000471,2024-01-31,23113.15
T000000594,A00000471,2024-01-31,22905.4
T000000595,A00000471,2024-01-31,22918.58
T000000596,A00000471,2024-01-31,22847.13
T000000597,A00000471,2024-01-31,23312.72
T000000598,A00000471,2024-01-31,23369.68
T000000599,A00000472,2024-01-31,27348.33
T000000600,A00000474,2024-01-31,1180.09
T000000601,A00000475,2024-01-31,375.52
T000000602,A00000476,2024-01-31,87575.19
T000000603,A00000477,2024-01-31,-30365.51
T000000604,A00000478,2024-01-31,4469.19
T000000605,A00000479,2024-01-31,314.87
T000000606,A00000479,2024-01-31,332.27
T000000607,A00000480,2024-01-31,288127.94
T000000608,A00000483,2024-01-31,200515.79
T000000609,A00000485,2024-01-31,94989.13
T000000610,A00000486,2024-01-31,-2200.43
