transaction_id,account_id,transaction_type,channel,merchant_category,description,currency_code,transaction_date,transaction_amount,post_date
H000000055,A00000117,REV,ATM,4900,REV ATM REF741586,USD,2023-11-02,73.16,2023-11-02
H000000056,A00000119,DEP,ACH,5411,DEP MOBILE REF110063,USD,2023-11-02,67.66,2023-11-02
H000000057,A00000119,WDR,ATM,7011,WDR WIRE REF154235,USD,2023-11-02,127.42,2023-11-02
H000000058,A00000119,WDR,ONLINE,5812,WDR ONLINE REF678865,USD,2023-11-02,205.25,2023-11-02
H000000059,A00000121,CHG,MOBILE,5912,CHG WIRE REF310358,USD,2023-11-02,25,2023-11-02
H000000060,A00000124,PMT,MOBILE,5912,PMT MOBILE REF197640,USD,2023-11-02,3008.79,2023-11-02
H000000061,A00000128,WDR,ONLINE,0000,WDR ONLINE REF777660,USD,2023-11-02,18.43,2023-11-02
H000000062,A00000132,DEP,ONLINE,0000,DEP BRANCH REF935399,USD,2023-11-02,80.21,2023-11-02
H000000063,A00000141,TRF,POS,0000,TRF ACH REF637965,USD,2023-11-02,180.5,2023-11-02
H000000064,A00000141,REV,BRANCH,5411,REV ONLINE REF864947,USD,2023-11-02,68.05,2023-11-02
H000000065,A00000143,WDR,ACH,7011,WDR ACH REF948840,USD,2023-11-02,70.33,2023-11-02
H000000066,A00000143,WDR,POS,7011,WDR ATM REF101019,USD,2023-11-02,13.79,2023-11-02
H000000067,A00000145,PMT,MOBILE,5411,PMT MOBILE REF594008,USD,2023-11-02,278.23,2023-11-02
H000000068,A00000145,FEE,ATM,5541,FEE BRANCH REF560394,USD,2023-11-02,3,2023-11-02
H000000069,A00000148,TRF,ATM,5541,TRF WIRE REF699685,USD,2023-11-02,-32.35,2023-11-03
H000000070,A00000153,TRF,MOBILE,5812,TRF BRANCH REF477104,USD,2023-11-02,13.26,2023-11-02
H000000071,A00000157,CHG,WIRE,5411,CHG ACH REF368835,USD,2023-11-02,12,2023-11-03
H000000072,A00000159,INT,ONLINE,5912,INT ACH REF637018,USD,2023-11-02,101.69,2023-11-03
H000000073,A00000160,REV,WIRE,5912,REV ACH REF597073,USD,2023-11-02,299.75,2023-11-02
H000000074,A00000160,REV,WIRE,6011,REV BRANCH REF172502,USD,2023-11-02,154.48,2023-11-03
H000000075,A00000160,DEP,ATM,5812,DEP WIRE REF240782,USD,2023-11-02,609.32,2023-11-03
H000000076,A00000163,FEE,BRANCH,0000,FEE BRANCH REF814070,USD,2023-11-02,25,2023-11-02
H000000077,A00000165,WDR,ONLINE,5812,WDR WIRE REF241391,USD,2023-11-02,74.77,2023-11-02
H000000078,A00000170,FEE,WIRE,7011,FEE ACH REF122890,USD,2023-11-02,3,2023-11-02
H000000079,A00000170,TRF,BRANCH,7011,TRF ATM REF218740,USD,2023-11-02,-94.85,2023-11-02
H000000080,A00000173,PMT,MOBILE,6011,PMT ATM REF697168,USD,2023-11-02,277.63,2023-11-02
H000000081,A00000177,PMT,MOBILE,4900,PMT POS REF444222,USD,2023-11-02,2251.54,2023-11-02
H000000082,A00000177,CHG,ACH,5411,CHG MOBILE REF214454,USD,2023-11-02,9.95,2023-11-02
H000000083,A00000178,INT,POS,5411,INT MOBILE REF171951,USD,2023-11-02,89.22,2023-11-02
H000000084,A00000179,PMT,WIRE,4900,PMT ATM REF107464,USD,2023-11-02,2318.23,2023-11-02
H000000085,A00000182,DEP,POS,5541,DEP WIRE REF731154,USD,2023-11-02,38.6,2023-11-03
H000000086,A00000187,PMT,POS,5912,PMT POS REF457095,USD,2023-11-02,2781.68,2023-11-02
H000000087,A00000187,CHG,ONLINE,7011,CHG ACH REF568032,USD,2023-11-02,9.95,2023-11-02
H000000088,A00000198,DEP,POS,5812,DEP ACH REF798087,USD,2023-11-02,138.34,2023-11-02
H000000089,A00000199,INT,WIRE,7011,INT ONLINE REF260737,USD,2023-11-02,55.22,2023-11-02
H000000090,A00000200,INT,WIRE,5411,INT ATM REF100415,USD,2023-11-02,16.08,2023-11-02
H000000091,A00000202,FEE,BRANCH,4900,FEE ACH REF472926,USD,2023-11-02,12,2023-11-02
H000000092,A00000208,DEP,BRANCH,5541,DEP POS REF230311,USD,2023-11-02,5.68,2023-11-03
H000000093,A00000208,INT,MOBILE,4900,INT ACH REF400558,USD,2023-11-02,85.11,2023-11-02
H000000094,A00000209,WDR,POS,4900,WDR BRANCH REF956226,USD,2023-11-02,21.3,2023-11-02
H000000095,A00000211,WDR,BRANCH,5912,WDR ONLINE REF673070,USD,2023-11-02,89.97,2023-11-02
H000000096,A00000212,INT,ATM,4900,INT POS REF218303,USD,2023-11-02,231.5,2023-11-02
H000000097,A00000213,PMT,POS,5812,PMT ATM REF184897,USD,2023-11-02,170.43,2023-11-02
H000000098,A00000213,CHG,ATM,7011,CHG BRANCH REF741133,USD,2023-11-02,9.95,2023-11-02
H000000099,A00000213,PMT,WIRE,5812,PMT WIRE REF176950,USD,2023-11-02,112.08,2023-11-02
H000000100,A00000214,INT,ACH,5541,INT POS REF950371,USD,2023-11-02,108.13,2023-11-02
H000000101,A00000214,PMT,POS,5812,PMT BRANCH REF828231,USD,2023-11-02,181.08,2023-11-02
H000000102,A00000217,PMT,ATM,5812,PMT ONLINE REF814604,USD,2023-11-02,1769.05,2023-11-02
H000000103,A00000217,PMT,ATM,5912,PMT ACH REF796669,USD,2023-11-02,363.22,2023-11-02
H000000104,A00000217,FEE,POS,5812,FEE ACH REF990862,USD,2023-11-02,9.95,2023-11-02
H000000105,A00000224,CHG,ATM,5812,CHG POS REF546534,USD,2023-11-02,35,2023-11-02
H000000106,A00000227,TRF,WIRE,7011,TRF ACH REF282702,USD,2023-11-02,50.43,2023-11-02
H000000107,A00000229,DEP,WIRE,6011,DEP ONLINE REF461602,USD,2023-11-02,11.75,2023-11-02
H000000108,A00000233,DEP,ONLINE,0000,DEP WIRE REF885801,USD,2023-11-02,14.36,2023-11-02
H000000109,A00000234,DEP,BRANCH,0000,DEP ONLINE REF634971,USD,2023-11-02,28.41,2023-11-02
H000000110,A00000239,PMT,ATM,6011,PMT MOBILE REF810409,USD,2023-11-02,1574.1,2023-11-02
H000000111,A00000239,PMT,POS,5541,PMT POS REF848606,USD,2023-11-02,1713.96,2023-11-02
H000000112,A00000241,INT,BRANCH,5812,INT ATM REF947148,USD,2023-11-02,165.53,2023-11-02
H000000113,A00000243,DEP,ATM,6011,DEP ACH REF696141,USD,2023-11-02,75.65,2023-11-02
H000000114,A00000243,TRF,MOBILE,4900,TRF MOBILE REF449738,USD,2023-11-02,-10.22,2023-11-02
H000000115,A00000246,CHG,BRANCH,0000,CHG BRANCH REF880981,USD,2023-11-02,9.95,2023-11-02
H000000116,A00000248,PMT,BRANCH,4900,PMT POS REF187137,USD,2023-11-02,1246.41,2023-11-02
H000000117,A00000252,FEE,BRANCH,7011,FEE MOBILE REF425395,USD,2023-11-02,12,2023-11-02
H000000118,A00000253,WDR,BRANCH,5541,WDR MOBILE REF480605,USD,2023-11-02,27.03,2023-11-02
H000000119,A00000253,WDR,ACH,5541,WDR ATM REF141455,USD,2023-11-02,66.47,2023-11-02
H000000120,A00000255,ADJ,BRANCH,6011,ADJ POS REF116195,USD,2023-11-02,124.84,2023-11-02
H000000121,A00000255,REV,BRANCH,4900,REV ONLINE REF530668,USD,2023-11-02,8.9,2023-11-02
H000000122,A00000255,WDR,MOBILE,6011,WDR POS REF323268,USD,2023-11-02,17.96,2023-11-02
H000000123,A00000261,DEP,BRANCH,5541,DEP ATM REF987527,USD,2023-11-02,24.87,2023-11-02
H000000124,A00000262,DEP,ONLINE,5541,DEP ACH REF881100,USD,2023-11-02,62.12,2023-11-03
H000000125,A00000262,WDR,ATM,5411,WDR ACH REF173493,USD,2023-11-02,285.89,2023-11-03
H000000126,A00000267,CHG,ATM,7011,CHG BRANCH REF895207,USD,2023-11-02,25,2023-11-02
H000000127,A00000275,PMT,WIRE,4900,PMT ACH REF908752,USD,2023-11-02,1784.92,2023-11-02
H000000128,A00000278,DEP,WIRE,5912,DEP WIRE REF853043,USD,2023-11-02,24.06,2023-11-02
H000000129,A00000279,REF,ATM,7011,REF WIRE REF392462,USD,2023-11-02,1206.05,2023-11-02
H000000130,A00000279,CHG,BRANCH,5411,CHG BRANCH REF805717,USD,2023-11-02,12,2023-11-02
H000000131,A00000286,DEP,ACH,5411,DEP WIRE REF335910,USD,2023-11-02,90.91,2023-11-02
H000000132,A00000293,PMT,POS,0000,PMT BRANCH REF408694,USD,2023-11-02,1194.75,2023-11-03
H000000133,A00000294,PMT,POS,5812,PMT ATM REF729029,USD,2023-11-02,1038.76,2023-11-02
H000000134,A00000294,CHG,BRANCH,7011,CHG POS REF418916,USD,2023-11-02,12,2023-11-02
H000000135,A00000296,TRF,ACH,5411,TRF WIRE REF196450,USD,2023-11-02,-43.79,2023-11-02
H000000136,A00000296,FEE,ONLINE,7011,FEE ONLINE REF726492,USD,2023-11-02,35,2023-11-03
H000000137,A00000296,TRF,ATM,5541,TRF WIRE REF506057,USD,2023-11-02,-62.55,2023-11-03
H000000138,A00000299,TRF,WIRE,5912,TRF MOBILE REF734232,USD,2023-11-02,-35.8,2023-11-02
H000000139,A00000299,WDR,ONLINE,5812,WDR BRANCH REF429315,USD,2023-11-02,12.11,2023-11-02
H000000140,A00000303,TRF,ONLINE,5411,TRF ONLINE REF249596,USD,2023-11-02,-43.16,2023-11-03
H000000141,A00000303,WDR,MOBILE,5541,WDR BRANCH REF516945,USD,2023-11-02,396.01,2023-11-02
H000000142,A00000303,WDR,WIRE,7011,WDR ACH REF701204,USD,2023-11-02,766.58,2023-11-02
H000000143,A00000305,REF,MOBILE,0000,REF WIRE REF659558,USD,2023-11-02,2499.76,2023-11-02
H000000144,A00000309,CHG,BRANCH,7011,CHG BRANCH REF169403,USD,2023-11-02,35,2023-11-02
H000000145,A00000309,PMT,ACH,0000,PMT WIRE REF759767,USD,2023-11-02,1254.09,2023-11-02
H000000146,A00000311,INT,MOBILE,6011,INT ACH REF707091,USD,2023-11-02,213.45,2023-11-03
H000000147,A00000320,REV,ACH,5411,REV MOBILE REF754322,USD,2023-11-02,44.14,2023-11-02
H000000148,A00000320,REV,POS,6011,REV ACH REF241480,USD,2023-11-02,232.24,2023-11-03
H000000149,A00000321,WDR,WIRE,5411,WDR ACH REF360864,USD,2023-11-02,11.85,2023-11-02
H000000150,A00000326,CHG,BRANCH,5912,CHG MOBILE REF113436,USD,2023-11-02,9.95,2023-11-02
H000000151,A00000330,CHG,BRANCH,5912,CHG BRANCH REF847042,USD,2023-11-02,35,2023-11-03
H000000152,A00000338,WDR,MOBILE,5812,WDR ONLINE REF148953,USD,2023-11-02,79.84,2023-11-02
H000000153,A00000339,CHG,MOBILE,4900,CHG ONLINE REF621796,USD,2023-11-02,9.95,2023-11-03
H000000154,A00000339,FEE,POS,6011,FEE WIRE REF818642,USD,2023-11-02,25,2023-11-03
H000000155,A00000339,INT,WIRE,5411,INT ONLINE REF665302,USD,2023-11-02,29.91,2023-11-02
H000000156,A00000344,CHG,MOBILE,0000,CHG WIRE REF763521,USD,2023-11-02,3,2023-11-02
H000000157,A00000344,CHG,WIRE,7011,CHG ACH REF175371,USD,2023-11-02,3,2023-11-02
H000000158,A00000348,CHG,BRANCH,5411,CHG BRANCH REF118889,USD,2023-11-02,35,2023-11-02
H000000159,A00000354,DEP,POS,5411,DEP POS REF804227,USD,2023-11-02,113.29,2023-11-02
H000000160,A00000354,FEE,WIRE,4900,FEE ATM REF169713,USD,2023-11-02,12,2023-11-03
H000000161,A00000356,TRF,POS,6011,TRF BRANCH REF930714,USD,2023-11-02,30.18,2023-11-02
H000000162,A00000357,TRF,MOBILE,5541,TRF WIRE REF805432,USD,2023-11-02,130.95,2023-11-02
H000000163,A00000358,CHG,BRANCH,4900,CHG ATM REF161542,USD,2023-11-02,12,2023-11-02
H000000164,A00000359,CHG,ACH,5411,CHG MOBILE REF761356,USD,2023-11-02,3,2023-11-02
H000000165,A00000362,CHG,ONLINE,5541,CHG ATM REF532372,USD,2023-11-02,12,2023-11-02
H000000166,A00000365,WDR,POS,5912,WDR POS REF461132,USD,2023-11-02,68.38,2023-11-02
H000000167,A00000365,WDR,MOBILE,7011,WDR WIRE REF452166,USD,2023-11-02,37.7,2023-11-02
H000000168,A00000372,FEE,ACH,5812,FEE ATM REF186364,USD,2023-11-02,3,2023-11-02
H000000169,A00000381,REF,POS,5812,REF BRANCH REF500465,USD,2023-11-02,30.79,2023-11-02
H000000170,A00000381,INT,ACH,5812,INT ONLINE REF292084,USD,2023-11-02,31.15,2023-11-02
H000000171,A00000389,TRF,BRANCH,6011,TRF ATM REF406883,USD,2023-11-02,-40.58,2023-11-03
H000000172,A00000391,PMT,ATM,0000,PMT MOBILE REF752835,USD,2023-11-02,484.92,2023-11-02
H000000173,A00000393,PMT,BRANCH,4900,PMT POS REF310900,USD,2023-11-02,731.84,2023-11-03
H000000174,A00000393,ADJ,ONLINE,7011,ADJ ONLINE REF592839,USD,2023-11-02,-1580.07,2023-11-02
H000000175,A00000397,PMT,POS,5812,PMT ONLINE REF403682,USD,2023-11-02,668.6,2023-11-03
H000000176,A00000400,CHG,ONLINE,5812,CHG MOBILE REF801898,USD,2023-11-02,35,2023-11-02
H000000177,A00000405,REF,ONLINE,7011,REF ONLINE REF978193,USD,2023-11-02,1041.12,2023-11-03
H000000178,A00000406,CHG,ACH,5912,CHG POS REF230181,USD,2023-11-02,3,2023-11-02
H000000179,A00000407,PMT,ATM,5541,PMT ONLINE REF891130,USD,2023-11-02,1450.99,2023-11-02
H000000180,A00000407,PMT,ATM,6011,PMT WIRE REF113092,USD,2023-11-02,1647.23,2023-11-02
H000000181,A00000410,INT,WIRE,5541,INT ONLINE REF840468,USD,2023-11-02,142.33,2023-11-02
H000000182,A00000413,WDR,BRANCH,5912,WDR ACH REF314949,USD,2023-11-02,1703.28,2023-11-02
H000000183,A00000413,DEP,ACH,5912,DEP ONLINE REF553278,USD,2023-11-02,83.52,2023-11-02
H000000184,A00000414,WDR,POS,5912,WDR ONLINE REF286346,USD,2023-11-02,217.74,2023-11-03
H000000185,A00000414,WDR,ONLINE,0000,WDR BRANCH REF253393,USD,2023-11-02,30.81,2023-11-02
H000000186,A00000418,TRF,BRANCH,5411,TRF WIRE REF878404,USD,2023-11-02,-16.69,2023-11-03
H000000187,A00000419,DEP,ATM,5912,DEP POS REF177615,USD,2023-11-02,126.71,2023-11-02
H000000188,A00000419,DEP,ATM,7011,DEP WIRE REF206390,USD,2023-11-02,58.72,2023-11-02
H000000189,A00000422,WDR,POS,5411,WDR POS REF248476,USD,2023-11-02,51.27,2023-11-02
H000000190,A00000422,TRF,POS,5411,TRF ACH REF195686,USD,2023-11-02,-24.02,2023-11-02
H000000191,A00000422,DEP,MOBILE,7011,DEP WIRE REF923430,USD,2023-11-02,164.98,2023-11-02
H000000192,A00000431,CHG,ACH,5812,CHG ATM REF698890,USD,2023-11-02,12,2023-11-02
H000000193,A00000433,WDR,BRANCH,0000,WDR BRANCH REF134062,USD,2023-11-02,82.25,2023-11-02
H000000194,A00000436,DEP,BRANCH,5912,DEP ATM REF417794,USD,2023-11-02,94.97,2023-11-02
H000000195,A00000437,CHG,MOBILE,0000,CHG POS REF179510,USD,2023-11-02,35,2023-11-02
H000000196,A00000437,REF,BRANCH,4900,REF ATM REF338784,USD,2023-11-02,1604.14,2023-11-02
H000000197,A00000437,PMT,ONLINE,5812,PMT ACH REF604363,USD,2023-11-02,1279.88,2023-11-03
H000000198,A00000439,FEE,POS,6011,FEE MOBILE REF774881,USD,2023-11-02,25,2023-11-02
H000000199,A00000442,INT,ATM,5812,INT MOBILE REF811042,USD,2023-11-02,176.78,2023-11-02
H000000200,A00000443,CHG,ATM,4900,CHG ACH REF844804,USD,2023-11-02,12,2023-11-02
H000000201,A00000444,WDR,ONLINE,7011,WDR WIRE REF489937,USD,2023-11-02,532.08,2023-11-02
H000000202,A00000449,INT,MOBILE,5812,INT MOBILE REF641544,USD,2023-11-02,239.26,2023-11-02
H000000203,A00000450,PMT,ATM,5411,PMT POS REF801355,USD,2023-11-02,1846.14,2023-11-02
H000000204,A00000451,TRF,ACH,5812,TRF POS REF669090,USD,2023-11-02,-31.95,2023-11-02
H000000205,A00000451,TRF,WIRE,5411,TRF WIRE REF597328,USD,2023-11-02,134.39,2023-11-02
H000000206,A00000454,TRF,MOBILE,5812,TRF BRANCH REF538279,USD,2023-11-02,-7.41,2023-11-02
H000000207,A00000454,TRF,BRANCH,5812,TRF BRANCH REF211873,USD,2023-11-02,-91.48,2023-11-02
H000000208,A00000454,DEP,BRANCH,7011,DEP BRANCH REF217859,USD,2023-11-02,257.16,2023-11-02
H000000209,A00000464,CHG,ONLINE,7011,CHG WIRE REF186118,USD,2023-11-02,35,2023-11-02
H000000210,A00000464,CHG,POS,7011,CHG ONLINE REF374809,USD,2023-11-02,9.95,2023-11-03
H000000211,A00000464,PMT,BRANCH,5812,PMT BRANCH REF174407,USD,2023-11-02,1470.64,2023-11-02
H000000212,A00000468,WDR,WIRE,6011,WDR ACH REF754938,USD,2023-11-02,16.42,2023-11-03
H000000213,A00000471,WDR,BRANCH,4900,WDR ACH REF610332,USD,2023-11-02,268.73,2023-11-02
H000000214,A00000474,PMT,WIRE,0000,PMT ATM REF852400,USD,2023-11-02,825.25,2023-11-02
H000000215,A00000476,CHG,ONLINE,6011,CHG ATM REF315548,USD,2023-11-02,35,2023-11-02
H000000216,A00000476,PMT,ONLINE,4900,PMT WIRE REF377443,USD,2023-11-02,1896.15,2023-11-02
H000000217,A00000477,FEE,BRANCH,0000,FEE ATM REF616199,USD,2023-11-02,12,2023-11-02
H000000218,A00000478,INT,WIRE,5812,INT ATM REF672154,USD,2023-11-02,22.56,2023-11-02
H000000219,A00000484,WDR,ACH,5541,WDR BRANCH REF713161,USD,2023-11-02,227.77,2023-11-02
H000000220,A00000002,TRF,WIRE,6011,TRF ONLINE REF704697,USD,2023-11-03,-135.4,2023-11-03
H000000221,A00000004,PMT,MOBILE,5541,PMT WIRE REF727318,USD,2023-11-03,1888.27,2023-11-04
H000000222,A00000005,INT,MOBILE,6011,INT BRANCH REF303317,USD,2023-11-03,231.53,2023-11-03
H000000223,A00000005,PMT,ACH,6011,PMT WIRE REF251915,USD,2023-11-03,499.24,2023-11-04
H000000224,A00000011,PMT,BRANCH,5812,PMT ONLINE REF304764,USD,2023-11-03,351.02,2023-11-04
H000000225,A00000011,CHG,ONLINE,5411,CHG ONLINE REF676610,USD,2023-11-03,9.95,2023-11-03
H000000226,A00000013,WDR,POS,5812,WDR POS REF692379,USD,2023-11-03,11.19,2023-11-03
H000000227,A00000018,DEP,ATM,4900,DEP ACH REF161208,USD,2023-11-03,142.67,2023-11-03
H000000228,A00000019,REF,POS,0000,REF WIRE REF764348,USD,2023-11-03,770.36,2023-11-03
H000000229,A00000019,INT,ACH,5812,INT WIRE REF139711,USD,2023-11-03,143.94,2023-11-03
H000000230,A00000019,CHG,BRANCH,7011,CHG ONLINE REF465539,USD,2023-11-03,25,2023-11-03
H000000231,A00000025,DEP,BRANCH,5912,DEP POS REF610067,USD,2023-11-03,41.39,2023-11-03
H000000232,A00000026,INT,BRANCH,7011,INT ONLINE REF293571,USD,2023-11-03,42.24,2023-11-03
H000000233,A00000026,CHG,BRANCH,0000,CHG MOBILE REF489442,USD,2023-11-03,9.95,2023-11-03
H000000234,A00000031,WDR,POS,0000,WDR WIRE REF979170,USD,2023-11-03,275.57,2023-11-03
H000000235,A00000031,TRF,WIRE,5411,TRF ATM REF660933,USD,2023-11-03,-476.12,2023-11-03
H000000236,A00000031,WDR,ATM,5812,WDR BRANCH REF282347,USD,2023-11-03,35.45,2023-11-03
H000000237,A00000035,CHG,MOBILE,4900,CHG ATM REF411475,USD,2023-11-03,9.95,2023-11-03
H000000238,A00000036,INT,ONLINE,7011,INT ACH REF520393,USD,2023-11-03,224.2,2023-11-03
H000000239,A00000036,CHG,ACH,5912,CHG ATM REF433659,USD,2023-11-03,25,2023-11-03
H000000240,A00000036,PMT,MOBILE,5411,PMT ACH REF354429,USD,2023-11-03,873.44,2023-11-03
H000000241,A00000044,DEP,WIRE,6011,DEP MOBILE REF571870,USD,2023-11-03,95.82,2023-11-04
H000000242,A00000044,WDR,MOBILE,5812,WDR WIRE REF668884,USD,2023-11-03,235.16,2023-11-04
H000000243,A00000046,WDR,POS,6011,WDR ONLINE REF730962,USD,2023-11-03,96.85,2023-11-03
H000000244,A00000048,ADJ,ATM,5812,ADJ POS REF778893,USD,2023-11-03,21.34,2023-11-03
H000000245,A00000048,DEP,WIRE,7011,DEP MOBILE REF682176,USD,2023-11-03,7.29,2023-11-03
H000000246,A00000049,CHG,ATM,0000,CHG ACH REF434677,USD,2023-11-03,3,2023-11-03
H000000247,A00000057,CHG,MOBILE,5541,CHG POS REF359684,USD,2023-11-03,12,2023-11-03
H000000248,A00000057,CHG,ONLINE,7011,CHG ONLINE REF113492,USD,2023-11-03,9.95,2023-11-03
H000000249,A00000070,PMT,ACH,0000,PMT ONLINE REF309607,USD,2023-11-03,609.86,2023-11-03
H000000250,A00000070,CHG,ATM,5912,CHG WIRE REF721178,USD,2023-11-03,12,2023-11-03
H000000251,A00000080,TRF,BRANCH,5411,TRF POS REF105190,USD,2023-11-03,23.47,2023-11-03
H000000252,A00000087,DEP,ONLINE,7011,DEP ACH REF872359,USD,2023-11-03,20.54,2023-11-04
H000000253,A00000094,DEP,WIRE,5541,DEP MOBILE REF974491,USD,2023-11-03,56.28,2023-11-03
H000000254,A00000094,DEP,BRANCH,4900,DEP WIRE REF540227,USD,2023-11-03,83.85,2023-11-03
H000000255,A00000094,ADJ,POS,7011,ADJ ACH REF211044,USD,2023-11-03,-310.32,2023-11-03
H000000256,A00000097,ADJ,ACH,5541,ADJ ACH REF799475,USD,2023-11-03,-579.74,2023-11-03
